2020年1月1日,農曆 初7,三,元旦放假
2020年1月2日,農曆 初8,四,臘八節
2020年1月3日,農曆 初9,五,
2020年1月4日,農曆 初10,六,
2020年1月5日,農曆 11,日,
2020年1月6日,農曆 12,一,小寒
2020年1月7日,農曆 13,二,
2020年1月8日,農曆 14,三,
2020年1月9日,農曆 15,四,
2020年1月10日,農曆 16,五,
2020年1月11日,農曆 17,六,
2020年1月12日,農曆 18,日,
2020年1月13日,農曆 19,一,
2020年1月14日,農曆 20,二,
2020年1月15日,農曆 21,三,
2020年1月16日,農曆 22,四,
2020年1月17日,農曆 23,五,小年
2020年1月18日,農曆 24,六,
2020年1月19日,農曆 25,日,
2020年1月20日,農曆 26,一,大寒
2020年1月21日,農曆 27,二,
2020年1月22日,農曆 28,三,
2020年1月23日,農曆 29,四,春節彈性放假
2020年1月24日,農曆 30,五,除夕
2020年1月25日,農曆 1,六,春節
2020年1月26日,農曆 初2,日,回娘家
2020年1月27日,農曆 初3,一,祭祖
2020年1月28日,農曆 初4,二,迎神
2020年1月29日,農曆 初5,三,春節補假
2020年1月30日,農曆 初6,四,
2020年1月31日,農曆 初7,五,
2020年2月1日,農曆 初8,六,
2020年2月2日,農曆 初9,日,天公生
2020年2月3日,農曆 初10,一,
2020年2月4日,農曆 11,二,立春
2020年2月5日,農曆 12,三,
2020年2月6日,農曆 13,四,
2020年2月7日,農曆 14,五,
2020年2月8日,農曆 15,六,元宵節
2020年2月9日,農曆 16,日,
2020年2月10日,農曆 17,一,
2020年2月11日,農曆 18,二,
2020年2月12日,農曆 19,三,
2020年2月13日,農曆 20,四,
2020年2月14日,農曆 21,五,西洋情人節
2020年2月15日,農曆 22,六,春節彈性放假補班
2020年2月16日,農曆 23,日,
2020年2月17日,農曆 24,一,
2020年2月18日,農曆 25,二,
2020年2月19日,農曆 26,三,雨水
2020年2月20日,農曆 27,四,
2020年2月21日,農曆 28,五,
2020年2月22日,農曆 29,六,
2020年2月23日,農曆 30,日,
2020年2月24日,農曆 1,一,龍抬頭節
2020年2月25日,農曆 初2,二,
2020年2月26日,農曆 初3,三,
2020年2月27日,農曆 初4,四,
2020年2月28日,農曆 初5,五,和平紀念日
2020年2月29日,農曆 初6,六,
2020年3月1日,農曆 初7,日,
2020年3月2日,農曆 初8,一,
2020年3月3日,農曆 初9,二,
2020年3月4日,農曆 初10,三,
2020年3月5日,農曆 11,四,驚蟄
2020年3月6日,農曆 12,五,
2020年3月7日,農曆 13,六,
2020年3月8日,農曆 14,日,婦女節
2020年3月9日,農曆 15,一,
2020年3月10日,農曆 16,二,
2020年3月11日,農曆 17,三,
2020年3月12日,農曆 18,四,植樹節
2020年3月13日,農曆 19,五,黑色星期五
2020年3月14日,農曆 20,六,白色情人節
2020年3月15日,農曆 21,日,
2020年3月16日,農曆 22,一,
2020年3月17日,農曆 23,二,
2020年3月18日,農曆 24,三,
2020年3月19日,農曆 25,四,
2020年3月20日,農曆 26,五,春分
2020年3月21日,農曆 27,六,洵賢生日
2020年3月22日,農曆 28,日,
2020年3月23日,農曆 29,一,
2020年3月24日,農曆 1,二,
2020年3月25日,農曆 初2,三,
2020年3月26日,農曆 初3,四,
2020年3月27日,農曆 初4,五,
2020年3月28日,農曆 初5,六,
